record_index,system,component,supplier_before,supplier_after,role_hint,action,detail
76,Manchette acc. Mobile,cuir,La Filière Française du cuir,La Filière Française du cuir,tier3_first_transformation,removed_from_switchable_network,"Industry association/channel, useful for sourcing context but not a supplier node."
76,Manchette acc. Mobile,cuir,EUREKA SARL DERAYGE SERVICE,EUREKA SARL DERAYGE SERVICE,tier2_second_transformation,moved_to_unverified,Could not robustly validate as industrial seat/leather supplier.
76,Manchette acc. Mobile,cuir,"Gruppo Mastrotto (Arzignano, Italie)",Gruppo Mastrotto,tier3_first_transformation,normalize_reviewed_supplier,Leather group/tannery; valid leather transformation source.
76,Manchette acc. Mobile,cuir,"Gruppo Mastrotto (Arzignano, Italie)",Gruppo Mastrotto,tier3_first_transformation,infer_primary_after_review,selected Gruppo Mastrotto as primary for tier3_first_transformation
77,Manchette équipée,cuir,La Filière Française du cuir,La Filière Française du cuir,tier3_first_transformation,removed_from_switchable_network,"Industry association/channel, useful for sourcing context but not a supplier node."
77,Manchette équipée,cuir,EUREKA SARL DERAYGE SERVICE,EUREKA SARL DERAYGE SERVICE,tier2_second_transformation,moved_to_unverified,Could not robustly validate as industrial seat/leather supplier.
77,Manchette équipée,cuir,"Gruppo Mastrotto (Arzignano, Italie)",Gruppo Mastrotto,tier3_first_transformation,normalize_reviewed_supplier,Leather group/tannery; valid leather transformation source.
77,Manchette équipée,cuir,"Gruppo Mastrotto (Arzignano, Italie)",Gruppo Mastrotto,tier3_first_transformation,infer_primary_after_review,selected Gruppo Mastrotto as primary for tier3_first_transformation
78,Ecran - Screen Display (COTS),"Display, liquid crystal, 17 pouces",Auberon Technologies,Auberon Technologies,tier2_second_transformation,normalize_reviewed_supplier,Display/optoelectronic systems supplier; plausible T2 for screen/display records.
78,Ecran - Screen Display (COTS),"Display, liquid crystal, 17 pouces",A Tech Supply APS,A Tech Supply APS,tier2_second_transformation,moved_to_unverified,Supplier name is too weakly sourced for stress-test use.
78,Ecran - Screen Display (COTS),"Display, liquid crystal, 17 pouces",Polymère,Polymère,tier4_raw_material,removed_from_switchable_network,"Generic material label, not a supplier. Replace with named polymer producer from purchasing/BOM."
78,Ecran - Screen Display (COTS),"Display, liquid crystal, 17 pouces",SONY,SONY,tier2_second_transformation,moved_to_cots_upstream,"Real electronics brand, but too generic as supply node; use exact display part supplier/distributor."
78,Ecran - Screen Display (COTS),"Display, liquid crystal, 17 pouces",Continental,Continental,tier1,moved_to_cots_upstream,Real electronics/automotive group but not a qualified aerospace seat supplier by current data.
78,Ecran - Screen Display (COTS),"Display, liquid crystal, 17 pouces",SONY,SONY,tier2_second_transformation,fill_missing_location_from_review_followup,cots_upstream_suppliers
97,Ens. Structure fauteuil,GLO: moulage par injection plastique,Valco Group,Valco Group,tier2_second_transformation,removed_from_switchable_network,Industrial valve group; not coherent for listed plastics/resin/leather records without product proof.
103,Capot NFC,kydex,Mexichem,Orbia / Mexichem,tier4_raw_material,normalize_reviewed_supplier,Mexichem is now Orbia; valid chemical/materials upstream supplier.
103,Capot NFC,kydex,Sekisui SPI (Kydex),SEKISUI KYDEX,tier2_second_transformation,normalize_reviewed_supplier,SEKISUI KYDEX is directly relevant for aviation/aerospace thermoplastic sheet.
104,Coussin ottoman,kydex,Mexichem,Orbia / Mexichem,tier4_raw_material,normalize_reviewed_supplier,Mexichem is now Orbia; valid chemical/materials upstream supplier.
104,Coussin ottoman,kydex,Sekisui SPI (Kydex),SEKISUI KYDEX,tier2_second_transformation,normalize_reviewed_supplier,SEKISUI KYDEX is directly relevant for aviation/aerospace thermoplastic sheet.
105,Ens. Stowage latéral,kydex,Mexichem,Orbia / Mexichem,tier4_raw_material,normalize_reviewed_supplier,Mexichem is now Orbia; valid chemical/materials upstream supplier.
105,Ens. Stowage latéral,kydex,Sekisui SPI (Kydex),SEKISUI KYDEX,tier2_second_transformation,normalize_reviewed_supplier,SEKISUI KYDEX is directly relevant for aviation/aerospace thermoplastic sheet.
106,Ensemble porte,kydex,Mexichem,Orbia / Mexichem,tier4_raw_material,normalize_reviewed_supplier,Mexichem is now Orbia; valid chemical/materials upstream supplier.
106,Ensemble porte,kydex,Sekisui SPI (Kydex),SEKISUI KYDEX,tier2_second_transformation,normalize_reviewed_supplier,SEKISUI KYDEX is directly relevant for aviation/aerospace thermoplastic sheet.
107,Ens. Tablette cocktail,kydex,Mexichem,Orbia / Mexichem,tier4_raw_material,normalize_reviewed_supplier,Mexichem is now Orbia; valid chemical/materials upstream supplier.
107,Ens. Tablette cocktail,kydex,Sekisui SPI (Kydex),SEKISUI KYDEX,tier2_second_transformation,normalize_reviewed_supplier,SEKISUI KYDEX is directly relevant for aviation/aerospace thermoplastic sheet.
108,Ens. Tablette repas,kydex,Mexichem,Orbia / Mexichem,tier4_raw_material,normalize_reviewed_supplier,Mexichem is now Orbia; valid chemical/materials upstream supplier.
108,Ens. Tablette repas,kydex,Sekisui SPI (Kydex),SEKISUI KYDEX,tier2_second_transformation,normalize_reviewed_supplier,SEKISUI KYDEX is directly relevant for aviation/aerospace thermoplastic sheet.
109,Stowage assemblé avec porte,kydex,Mexichem,Orbia / Mexichem,tier4_raw_material,normalize_reviewed_supplier,Mexichem is now Orbia; valid chemical/materials upstream supplier.
109,Stowage assemblé avec porte,kydex,Sekisui SPI (Kydex),SEKISUI KYDEX,tier2_second_transformation,normalize_reviewed_supplier,SEKISUI KYDEX is directly relevant for aviation/aerospace thermoplastic sheet.
110,Ens. Coque,NIDA - GLO (moulage par injection plastique),STECO,STECO,tier2_second_transformation,moved_to_unverified,Name too ambiguous; could be composite supplier but source was not robust.
121,Ecran - 00-5136-51 Rev F Seat Power Box 4 (SPB4),"Display, liquid crystal, 17 pouces",Auberon Technologies,Auberon Technologies,tier2_second_transformation,normalize_reviewed_supplier,Display/optoelectronic systems supplier; plausible T2 for screen/display records.
121,Ecran - 00-5136-51 Rev F Seat Power Box 4 (SPB4),"Display, liquid crystal, 17 pouces",A Tech Supply APS,A Tech Supply APS,tier2_second_transformation,moved_to_unverified,Supplier name is too weakly sourced for stress-test use.
121,Ecran - 00-5136-51 Rev F Seat Power Box 4 (SPB4),"Display, liquid crystal, 17 pouces",Polymère,Polymère,tier4_raw_material,removed_from_switchable_network,"Generic material label, not a supplier. Replace with named polymer producer from purchasing/BOM."
121,Ecran - 00-5136-51 Rev F Seat Power Box 4 (SPB4),"Display, liquid crystal, 17 pouces",SONY,SONY,tier2_second_transformation,moved_to_cots_upstream,"Real electronics brand, but too generic as supply node; use exact display part supplier/distributor."
121,Ecran - 00-5136-51 Rev F Seat Power Box 4 (SPB4),"Display, liquid crystal, 17 pouces",Continental,Continental,tier1,moved_to_cots_upstream,Real electronics/automotive group but not a qualified aerospace seat supplier by current data.
121,Ecran - 00-5136-51 Rev F Seat Power Box 4 (SPB4),"Display, liquid crystal, 17 pouces",SONY,SONY,tier2_second_transformation,fill_missing_location_from_review_followup,cots_upstream_suppliers
124,Ens. Structure fixe,caoutchouc,Mexichem,Orbia / Mexichem,tier4_raw_material,normalize_reviewed_supplier,Mexichem is now Orbia; valid chemical/materials upstream supplier.
126,Powerbox,powerbox,Auberon Technologies,Auberon Technologies,tier2_second_transformation,normalize_reviewed_supplier,Display/optoelectronic systems supplier; plausible T2 for screen/display records.
126,Powerbox,powerbox,A Tech Supply APS,A Tech Supply APS,tier2_second_transformation,moved_to_unverified,Supplier name is too weakly sourced for stress-test use.
126,Powerbox,powerbox,JAMMY Inc,JAMMY Inc,tier1,removed_from_switchable_network,Not verifiable as aerospace-seat supplier; likely typo/noise.
127,Ens. Coque,SIMAPRO : extrusion and thermoforming - traitement par AER Film Schneider,STECO,STECO,tier2_second_transformation,moved_to_unverified,Name too ambiguous; could be composite supplier but source was not robust.
128,Ens. Coque,Résine BR623 - composite,Valco Group,Valco Group,tier2_second_transformation,removed_from_switchable_network,Industrial valve group; not coherent for listed plastics/resin/leather records without product proof.
128,Ens. Coque,Résine BR623 - composite,HENKEL,Henkel,tier3_first_transformation,normalize_reviewed_supplier,Aerospace adhesives/materials supplier.
128,Ens. Coque,Résine BR623 - composite,STECO,STECO,tier2_second_transformation,moved_to_unverified,Name too ambiguous; could be composite supplier but source was not robust.
129,Ens. Tablette repas,Silicone50 shore,General Electric,General Electric,tier1,removed_from_switchable_network,Too broad and mismatched for silicone/cables without product traceability.
129,Ens. Tablette repas,Silicone50 shore,Rhône Poulenc,Rhône Poulenc,tier2_second_transformation,moved_to_unverified,Legacy chemical name; replace with current group/product source such as Solvay/Rhodia if applicable.
129,Ens. Tablette repas,Silicone50 shore,Toschiba-Shinetsu,Shin-Etsu Silicones,tier3_first_transformation,normalize_reviewed_supplier,Correct to Shin-Etsu Silicones for silicone material; Toshiba part is likely a typo/noise.
129,Ens. Tablette repas,Silicone50 shore,Silicon Engineering,Silicone Engineering,tier2_second_transformation,normalize_reviewed_supplier,Silicone Engineering is a silicone rubber material supplier.
129,Ens. Tablette repas,Silicone50 shore,Silicon Engineering,Silicone Engineering,tier2_second_transformation,infer_primary_after_review,selected Silicone Engineering as primary for tier2_second_transformation
129,Ens. Tablette repas,Silicone50 shore,GATTEFIN,ETS Gattefin,tier1,infer_primary_after_review,selected ETS Gattefin as primary for tier1
129,Ens. Tablette repas,Silicone50 shore,Toschiba-Shinetsu,Shin-Etsu Silicones,tier3_first_transformation,fill_missing_location_from_review_followup,suppliers
129,Ens. Tablette repas,Silicone50 shore,Silicon Engineering,Silicone Engineering,tier2_second_transformation,fill_missing_location_from_review_followup,suppliers
130,Remote extender unit,télécommande,JAMMY Inc,JAMMY Inc,tier1,removed_from_switchable_network,Not verifiable as aerospace-seat supplier; likely typo/noise.
130,Remote extender unit,télécommande,Thales,Thales,tier1,normalize_reviewed_supplier,Aerospace/avionics supplier; plausible T1/T2 for IFE/electronics.
130,Remote extender unit,télécommande,PMV,PMV,tier1,moved_to_unverified,Ambiguous supplier name.
130,Remote extender unit,télécommande,Thales,Thales,tier1,infer_primary_after_review,selected Thales as primary for tier1
131,Coussin têtière,tissu,Paragon Textiles,Paragon Textiles,tier3_first_transformation,moved_to_unverified,Name is plausible but source/country linkage was not robust enough; keep only after purchasing validation.
131,Coussin têtière,tissu,Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,normalize_reviewed_supplier,Textile supplier; valid textile transformation node.
131,Coussin têtière,tissu,Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,fill_missing_location_from_review_followup,suppliers
132,Ens. Coussin assise,tissu,Paragon Textiles,Paragon Textiles,tier3_first_transformation,moved_to_unverified,Name is plausible but source/country linkage was not robust enough; keep only after purchasing validation.
132,Ens. Coussin assise,tissu,Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,normalize_reviewed_supplier,Textile supplier; valid textile transformation node.
132,Ens. Coussin assise,tissu,Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,fill_missing_location_from_review_followup,suppliers
133,Ens.coussin dossier version têtière,tissu,Paragon Textiles,Paragon Textiles,tier3_first_transformation,moved_to_unverified,Name is plausible but source/country linkage was not robust enough; keep only after purchasing validation.
133,Ens.coussin dossier version têtière,tissu,Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,normalize_reviewed_supplier,Textile supplier; valid textile transformation node.
133,Ens.coussin dossier version têtière,tissu,Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,fill_missing_location_from_review_followup,suppliers
134,Ens. Coussin dossier,tissu,Paragon Textiles,Paragon Textiles,tier3_first_transformation,moved_to_unverified,Name is plausible but source/country linkage was not robust enough; keep only after purchasing validation.
134,Ens. Coussin dossier,tissu,Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,normalize_reviewed_supplier,Textile supplier; valid textile transformation node.
134,Ens. Coussin dossier,tissu,Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,fill_missing_location_from_review_followup,suppliers
