tier_code,role_hint,tier_label,supplier,country,region,business_family,record_count,primary_count,alternate_count,mass_exposure_kg_sum_record_level,confidence,modeling_action,has_coordinates,source_ids,geocode_status_counts,system_examples,component_examples,description_examples,review_status,recommended_tier_code,reviewed_action,reviewed_confidence,review_rationale,review_source_ids,canonical_supplier
T4,tier4_raw_material,Raw material / primary producer,Socfin LAC Liberia,Liberia,Outside_Europe,general_industrial,1,0,1,0.01,review,keep_as_supply_tier_node,True,,kept_from_source_json:1,Ens. Structure fixe,caoutchouc,Hévéa / caoutchouc,validated_supplier,T4,keep,medium_high,Socfin rubber activity; valid upstream natural rubber source.,SRC_SOCFIN_001,Socfin LAC Liberia
T4,tier4_raw_material,Raw material / primary producer,Socfin Okomu,Nigeria,Outside_Europe,general_industrial,1,0,1,0.01,review,keep_as_supply_tier_node,True,,kept_from_source_json:1,Ens. Structure fixe,caoutchouc,Hévéa / huile de palme,validated_supplier,T4,keep,medium_high,Socfin rubber activity; valid upstream natural rubber source.,SRC_SOCFIN_001,Socfin Okomu
T4,tier4_raw_material,Raw material / primary producer,Socfin SRC Weala,Liberia,Outside_Europe,general_industrial,1,0,1,0.01,review,keep_as_supply_tier_node,True,,kept_from_source_json:1,Ens. Structure fixe,caoutchouc,Caoutchouc,validated_supplier,T4,keep,medium_high,Socfin rubber activity; valid upstream natural rubber source.,SRC_SOCFIN_001,Socfin SRC Weala
T4,tier4_raw_material,Raw material / primary producer,Solvay,Belgium,Europe_non_FR,general_industrial,1,0,1,0.0478353,review,keep_as_supply_tier_node,True,,kept_from_source_json:1,Ens. Structure porte,Z10CNT18,Chimie de spécialité,validated_supplier_with_component_scope_issue,T4,keep_only_for_chemical_or_composite_records,high,"Valid aerospace chemical/materials supplier, but not valid for stainless steel records.",SRC_SOLVAY_001,Solvay
T3,tier3_first_transformation,First transformation / material processor,Tissu Huddersfield,United Kingdom,Europe_non_FR,textile_foam_leather,29,0,29,68.848552355,review,keep_as_supply_tier_node,False,,needs_verified_site:29,Coussin ottoman | Manchette acc. Mobile | Coussin têtière | Ens. Coussin assise | Ens.coussin dossier version têtière | Ens. Coussin dossier,"tissu | FRMC55:EU28 polyuréthane flexible traité UL | velcro | velours | Tissu, mousse, polyéthylène | autre (silicium, cuirs synthétique) | 16 % Tissu, mousse, polyéthylène | 8% autre (silicium, cuirs synthétique)",Laine et tissus,validated_supplier,T3,normalize_name,high,Textile supplier; valid textile transformation node.,SRC_HUDDERSFIELD_001,Huddersfield Textiles
T3,tier3_first_transformation,First transformation / material processor,Paragon Textiles,India,Outside_Europe,textile_foam_leather,23,0,23,68.749552355,review,keep_as_supply_tier_node,False,,needs_verified_site:23,Coussin ottoman | Manchette acc. Mobile | Coussin têtière | Ens. Coussin assise | Ens.coussin dossier version têtière | Ens. Coussin dossier,"tissu | FRMC55:EU28 polyuréthane flexible traité UL | velcro | Tissu, mousse, polyéthylène | autre (silicium, cuirs synthétique) | 16 % Tissu, mousse, polyéthylène | 8% autre (silicium, cuirs synthétique) | 16 % Tissu, mousse",Tissage de base,needs_business_validation,T3,verify_exact_legal_entity_and_site,low,Name is plausible but source/country linkage was not robust enough; keep only after purchasing validation.,,
T3,tier3_first_transformation,First transformation / material processor,Yamazaki Velvet Co.,Japan,Outside_Europe,textile_foam_leather,7,0,7,0.107,review,keep_as_supply_tier_node,True,,kept_from_source_json:7,ens. equipements lateraux | Coussin ottoman | Coussin têtière | Ens. Coussin assise | Ens.coussin dossier version têtière | Ens. Coussin dossier,"velours eu28: polyurethane flexible foam, with flame retardant eu28: pa6.6 fibres | velours",Velours / textile haut de gamme,validated_supplier,T3,keep,medium,Plausible velvet/textile supplier; keep but confirm actual aerospace/seat material source.,,Yamazaki Velvet Co.
T3,tier3_first_transformation,First transformation / material processor,SOMANI,Portugal,Europe_non_FR,textile_foam_leather,6,0,6,0.099,review,keep_as_supply_tier_node,True,,kept_from_source_json:6,Coussin ottoman | Coussin têtière | Ens. Coussin assise | Ens.coussin dossier version têtière | Ens. Coussin dossier | Habillage sous fauteuil,velours,Textile / velours — 2e transformation,validated_supplier,T3,keep,high,Portuguese textile company; valid textile transformation node.,SRC_SOMANI_001,SOMANI
T3,tier3_first_transformation,First transformation / material processor,Tongxiang Zhuoyi Textile,China,Outside_Europe,textile_foam_leather,6,0,6,0.099,review,keep_as_supply_tier_node,True,,kept_from_source_json:6,Coussin ottoman | Coussin têtière | Ens. Coussin assise | Ens.coussin dossier version têtière | Ens. Coussin dossier | Habillage sous fauteuil,velours,Textile technique,needs_business_validation,T3,verify_exact_legal_entity_and_site,low,Plausible textile supplier but not sufficiently sourced; validate before using as switch option.,,
T3,tier3_first_transformation,First transformation / material processor,Velours,France,France,textile_foam_leather,6,6,0,0.099,review,keep_as_supply_tier_node,True,,kept_from_source_json:6,Coussin ottoman | Coussin têtière | Ens. Coussin assise | Ens.coussin dossier version têtière | Ens. Coussin dossier | Habillage sous fauteuil,velours,Textile générique,generic_placeholder,T3,remove_replace_with_named_supplier,high,"Generic material label, not a supplier.",,
T3,tier3_first_transformation,First transformation / material processor,"Gruppo Mastrotto (Arzignano, Italie)",Italy,Europe_non_FR,textile_foam_leather,3,0,3,0.211,review,keep_as_supply_tier_node,True,,kept_from_source_json:3,Ens. Stowage latéral | Manchette acc. Mobile | Manchette équipée,cuir,Tannerie — 1ère transformation cuir,validated_supplier,T3,normalize_name,high,Leather group/tannery; valid leather transformation source.,SRC_MASTROTTO_001,Gruppo Mastrotto
T3,tier3_first_transformation,First transformation / material processor,La Filière Française du cuir,France,France,textile_foam_leather,3,3,0,0.211,review,keep_as_supply_tier_node,True,,kept_from_source_json:3,Ens. Stowage latéral | Manchette acc. Mobile | Manchette équipée,cuir,Cuir / regroupement industriel,industry_association_not_supplier,T3,remove_from_supplier_network,high,"Industry association/channel, useful for sourcing context but not a supplier node.",SRC_MAISON_FICHET_001,
T3,tier3_first_transformation,First transformation / material processor,Saint-Gobain,France,France,general_industrial,3,3,0,1.5014,review,keep_as_supply_tier_node,True,,kept_from_source_json:3,Stowage assemblé avec porte | System IFE (In-Flight Entertainment) est un ensemble d'équipements et de logiciels qui permet aux passagers d'occuper leur temps à bord d'un avion. | Ens. Tablette repas,Silicone | System IFE boitier ref FJKL1-3K1100-01ATAB | Silicone50 shore,Verre / matériaux techniques,validated_supplier,T3,keep_with_product_scope_check,medium_high,Materials group; valid only if linked to a specific silicone/glass/material product.,SRC_SAINTGOBAIN_001,Saint-Gobain
T3,tier3_first_transformation,First transformation / material processor,HENKEL,Germany,Europe_non_FR,general_industrial,2,1,1,0.88,review,keep_as_supply_tier_node,True,,kept_from_source_json:2,Ensemble porte | Ens. Coque,FILM DECOR AERFILM - Ep0.33 714g-m2 | Résine BR623 - composite,Colles et adhésifs — chimie appliquée,validated_supplier,T3,keep,high,Aerospace adhesives/materials supplier.,SRC_HENKEL_001,Henkel
T3,tier3_first_transformation,First transformation / material processor,Tissus:,France,France,textile_foam_leather,2,2,0,0.078,review,keep_as_supply_tier_node,True,,kept_from_source_json:2,Manchette acc. Mobile | Manchette équipée,FRMC55:EU28 polyuréthane flexible traité UL,Textile non précisé,generic_placeholder,T3,remove_replace_with_named_supplier,high,"Generic material label, not a supplier.",,
T3,tier3_first_transformation,First transformation / material processor,Toschiba-Shinetsu,Japan,Outside_Europe,general_industrial,2,0,2,0.0014,review,keep_as_supply_tier_node,False,,needs_verified_site:2,Stowage assemblé avec porte | Ens. Tablette repas,Silicone | Silicone50 shore,Chimie de spécialité — silicones,validated_supplier,T3,normalize_name,high,Correct to Shin-Etsu Silicones for silicone material; Toshiba part is likely a typo/noise.,SRC_SHINETSU_001,Shin-Etsu Silicones
T3,tier3_first_transformation,First transformation / material processor,Daio Paper Corporation,Japan,Outside_Europe,textile_foam_leather,1,0,1,0.95,review,keep_as_supply_tier_node,False,,needs_verified_site:1,Padding (rembourrage),AIRVOLT LAMINAT,Cellulose / textile,validated_supplier,T3,keep,high,Paper producer; valid paper transformation/upstream node.,SRC_DAIO_001,Daio Paper Corporation
T3,tier3_first_transformation,First transformation / material processor,EPODEX,France,France,general_industrial,1,1,0,0.392,review,keep_as_supply_tier_node,True,,kept_from_source_json:1,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,Résines époxy — transformation chimique,validated_supplier,T3,keep_with_aerospace_scope_check,medium,Epoxy/resin supplier; validate aerospace grade and product before simulation.,SRC_FORMICA_001,EPODEX
T3,tier3_first_transformation,First transformation / material processor,FORMICA,France,France,polymer_plastic_chemical,1,0,1,0.95,review,keep_as_supply_tier_node,True,,kept_from_source_json:1,Padding (rembourrage),AIRVOLT LAMINAT,Stratifiés polymères — seconde transformation,validated_supplier,T3,keep,medium_high,Laminate/surface material producer; plausible for laminate materials.,SRC_FORMICA_001,Formica
T3,tier3_first_transformation,First transformation / material processor,Kronotex GmbH & Co,Germany,Europe_non_FR,general_industrial,1,1,0,0.95,review,keep_as_supply_tier_node,True,,kept_from_source_json:1,Padding (rembourrage),AIRVOLT LAMINAT,Bois / stratifiés — 2e transformation,validated_supplier_with_scope_issue,T3,keep_with_scope_check,medium,"Laminate/panel producer; not aerospace-specific, validate material relevance.",SRC_KRONOTEX_001,Kronotex GmbH & Co
T3,tier3_first_transformation,First transformation / material processor,Smurfit Kappa Group plc,Irlande,Outside_Europe,general_industrial,1,0,1,0.95,review,keep_as_supply_tier_node,True,,kept_from_source_json:1,Padding (rembourrage),AIRVOLT LAMINAT,Emballages / carton technique,packaging_or_paper_auxiliary,PKG,move_to_packaging_or_auxiliary_flow,high,Packaging/paper group; not a manufacturing tier unless the paper itself is part of material.,SRC_SMURFIT_001,Smurfit Kappa
T3,tier3_first_transformation,First transformation / material processor,Ultrafabrics (Japon),Japan,Outside_Europe,textile_foam_leather,1,1,0,0.099,review,keep_as_supply_tier_node,True,,kept_from_source_json:1,Padding (rembourrage),ULTRA LEATHER SMOKE,Revêtements synthétiques – seconde transformation,validated_supplier,T3,normalize_name,high,Synthetic high-performance fabric/leather-like material supplier.,SRC_ULTRAFABRICS_001,Ultrafabrics
T2,tier2_second_transformation,Second transformation / component processor,A Tech Supply APS,Denmark,Europe_non_FR,general_industrial,9,0,9,34.384931413,review,keep_as_supply_tier_node,True,,kept_from_source_json:9,Ecran - Screen Display (COTS) | Ecran - 00-5136-51 Rev F Seat Power Box 4 (SPB4) | Powerbox | Support écran Screen Display (COTS) | Siége,"Display, liquid crystal, 17 pouces | powerbox | autre (silicium, cuirs synthétique) | 8% autre (silicium, cuirs synthétique) | 16 % Tissu, mousse",Fournisseur industriel / équipements composites,needs_business_validation,T2,verify_exact_legal_entity_and_product,low,Supplier name is too weakly sourced for stress-test use.,,
T2,tier2_second_transformation,Second transformation / component processor,Auberon technologie,France,France,general_industrial,9,0,9,34.384931413,review,keep_as_supply_tier_node,True,,kept_from_source_json:9,Ecran - Screen Display (COTS) | Ecran - 00-5136-51 Rev F Seat Power Box 4 (SPB4) | Powerbox | Support écran Screen Display (COTS) | Siége,"Display, liquid crystal, 17 pouces | powerbox | autre (silicium, cuirs synthétique) | 8% autre (silicium, cuirs synthétique) | 16 % Tissu, mousse",Outillages et composites — sous-ensembles,validated_supplier,T2,normalize_name,medium_high,Display/optoelectronic systems supplier; plausible T2 for screen/display records.,SRC_AUBERON_001,Auberon Technologies
T2,tier2_second_transformation,Second transformation / component processor,Innoptec,France,France,general_industrial,9,0,9,34.384931413,review,keep_as_supply_tier_node,True,,kept_from_source_json:9,Ecran - Screen Display (COTS) | Ecran - 00-5136-51 Rev F Seat Power Box 4 (SPB4) | Powerbox | Support écran Screen Display (COTS) | Siége,"Display, liquid crystal, 17 pouces | powerbox | autre (silicium, cuirs synthétique) | 8% autre (silicium, cuirs synthétique) | 16 % Tissu, mousse",Optoélectronique — sous-ensembles,validated_supplier,T2,keep,medium_high,Optical/display technology supplier; plausible T2 for display records.,SRC_INNOPTEC_001,Innoptec
T2,tier2_second_transformation,Second transformation / component processor,Plastiform,France,France,polymer_plastic_chemical,8,0,8,12.09,review,keep_as_supply_tier_node,True,,kept_from_source_json:8,Capot NFC | Coussin ottoman | Ens. Stowage latéral | Ensemble porte | Ens. Tablette cocktail | Ens. Tablette repas,kydex | NIDA - GLO (moulage par injection plastique),Plasturgie — sous-ensembles injection,validated_supplier,T2,keep,medium_high,Plastics/thermoforming supplier; valid T2 transformation.,SRC_PLASTIFORM_001,Plastiform
T2,tier2_second_transformation,Second transformation / component processor,Lelièvre Paris (velours),France,France,general_industrial,7,1,6,0.107,review,keep_as_supply_tier_node,True,,kept_from_source_json:7,ens. equipements lateraux | Coussin ottoman | Coussin têtière | Ens. Coussin assise | Ens.coussin dossier version têtière | Ens. Coussin dossier,"velours eu28: polyurethane flexible foam, with flame retardant eu28: pa6.6 fibres | velours",Velours haut de gamme,validated_supplier,T2,normalize_name,high,"Upholstery textile supplier; valid textile source, but aerospace qualification to verify.",SRC_LELIEVRE_001,Lelièvre Paris
T2,tier2_second_transformation,Second transformation / component processor,Sekisui SPI (Kydex),United States,Outside_Europe,polymer_plastic_chemical,7,0,7,3.651,review,keep_as_supply_tier_node,True,,kept_from_source_json:7,Capot NFC | Coussin ottoman | Ens. Stowage latéral | Ensemble porte | Ens. Tablette cocktail | Ens. Tablette repas,kydex,Feuilles thermoplastiques,validated_supplier,T2,normalize_name,high,SEKISUI KYDEX is directly relevant for aviation/aerospace thermoplastic sheet.,SRC_SEKISUI_KYDEX_001,SEKISUI KYDEX
T2,tier2_second_transformation,Second transformation / component processor,Kvadrat,Denmark,Europe_non_FR,textile_foam_leather,6,0,6,0.099,review,keep_as_supply_tier_node,True,,kept_from_source_json:6,Coussin ottoman | Coussin têtière | Ens. Coussin assise | Ens.coussin dossier version têtière | Ens. Coussin dossier | Habillage sous fauteuil,velours,Textiles d’ameublement,validated_supplier,T2,keep_with_aerospace_scope_check,medium_high,Textile supplier; validate actual seat program material.,SRC_KVADRAT_001,Kvadrat
T2,tier2_second_transformation,Second transformation / component processor,EUREKA SARL DERAYGE SERVICE,France,France,general_industrial,3,0,3,0.211,review,keep_as_supply_tier_node,True,,kept_from_source_json:3,Ens. Stowage latéral | Manchette acc. Mobile | Manchette équipée,cuir,Maintenance / service industriel,needs_business_validation,T2,verify_exact_legal_entity_and_site,low,Could not robustly validate as industrial seat/leather supplier.,,
T2,tier2_second_transformation,Second transformation / component processor,Maison Fichet,France,France,general_industrial,3,3,0,0.211,review,keep_as_supply_tier_node,True,,kept_from_source_json:3,Ens. Stowage latéral | Manchette acc. Mobile | Manchette équipée,cuir,Serrurerie / mobilier industriel,validated_supplier_with_scope_issue,T2,keep_as_leather_distributor_if_traceable,medium,"Leather supplier/distributor, not an aerospace-qualified supplier by available source.",SRC_MAISON_FICHET_001,Maison Fichet
T2,tier2_second_transformation,Second transformation / component processor,SONY,Japan,Outside_Europe,general_industrial,3,0,3,4.756,review,keep_as_supply_tier_node,False,,needs_verified_site:3,Ecran - Screen Display (COTS) | Ecran - 00-5136-51 Rev F Seat Power Box 4 (SPB4) | Support écran Screen Display (COTS),"Display, liquid crystal, 17 pouces",Électronique — sous-ensembles,cots_brand_not_supply_node,T2,replace_with_exact_part_supplier_or_distributor,medium,"Real electronics brand, but too generic as supply node; use exact display part supplier/distributor.",,
T2,tier2_second_transformation,Second transformation / component processor,STECO,France,France,general_industrial,3,0,3,9.319,review,keep_as_supply_tier_node,True,,kept_from_source_json:3,Ens. Coque,NIDA - GLO (moulage par injection plastique) | SIMAPRO : extrusion and thermoforming - traitement par AER Film Schneider | Résine BR623 - composite,Petite mécanique — sous-ensembles,needs_business_validation,T2,verify_exact_legal_entity_and_site,low,Name too ambiguous; could be composite supplier but source was not robust.,,
T2,tier2_second_transformation,Second transformation / component processor,Valco Group,France,France,general_industrial,3,0,3,0.668,review,keep_as_supply_tier_node,True,,kept_from_source_json:3,Ens. Structure fauteuil | Ens. Coque | Padding (rembourrage),GLO: moulage par injection plastique | Résine BR623 - composite | ULTRA LEATHER SMOKE,Vannes / composants industriels,wrong_scope_or_unrelated,T2,remove_unless_product_traceability_exists,low,Industrial valve group; not coherent for listed plastics/resin/leather records without product proof.,,
T2,tier2_second_transformation,Second transformation / component processor,Auger,France,France,metal_transformation_or_machining,2,0,2,1.0,review,keep_as_supply_tier_node,True,,kept_from_source_json:2,lightning | SFCU (Seat Function Control Unit),lightning | Clavier,Usinage mécanique — automobile/aéronautique,needs_business_validation,T2,verify_exact_supplier,low,Ambiguous supplier name; do not use for switches before validation.,,
T2,tier2_second_transformation,Second transformation / component processor,Rhône Poulenc,France,France,general_industrial,2,2,0,0.0014,review,keep_as_supply_tier_node,True,,kept_from_source_json:2,Stowage assemblé avec porte | Ens. Tablette repas,Silicone | Silicone50 shore,Chimie industrielle,legacy_or_defunct_supplier,T2,replace_with_current_legal_entity,medium,Legacy chemical name; replace with current group/product source such as Solvay/Rhodia if applicable.,,
T2,tier2_second_transformation,Second transformation / component processor,Silicon Engineering,United Kingdom,Europe_non_FR,general_industrial,2,0,2,0.0014,review,keep_as_supply_tier_node,False,,needs_verified_site:2,Stowage assemblé avec porte | Ens. Tablette repas,Silicone | Silicone50 shore,Design électronique — sous-ensembles,validated_supplier,T2,normalize_name,high,Silicone Engineering is a silicone rubber material supplier.,SRC_SILICONE_ENGINEERING_001,Silicone Engineering
T2,tier2_second_transformation,Second transformation / component processor,3M,United States,Outside_Europe,polymer_plastic_chemical,1,0,1,1.5,review,keep_as_supply_tier_node,True,,kept_from_source_json:1,System IFE (In-Flight Entertainment) est un ensemble d'équipements et de logiciels qui permet aux passagers d'occuper leur temps à bord d'un avion.,System IFE boitier ref FJKL1-3K1100-01ATAB,Adhésifs / polymères techniques,validated_supplier_with_scope_issue,T2,keep_only_with_product_traceability,high,"3M Aerospace is valid, but exact material/product should be linked.",SRC_3M_001,3M
T2,tier2_second_transformation,Second transformation / component processor,BT Electronics,France,France,electronics_ife,1,1,0,1.5,review,keep_as_supply_tier_node,True,,kept_from_source_json:1,System IFE (In-Flight Entertainment) est un ensemble d'équipements et de logiciels qui permet aux passagers d'occuper leur temps à bord d'un avion.,System IFE boitier ref FJKL1-3K1100-01ATAB,Électronique industrielle — sous-ensembles,needs_business_validation,T2,verify_exact_legal_entity_and_product,low,Ambiguous electronics supplier; do not use as switch before validation.,,
T2,tier2_second_transformation,Second transformation / component processor,Balterio,Belgium,Europe_non_FR,general_industrial,1,0,1,0.95,review,keep_as_supply_tier_node,True,,kept_from_source_json:1,Padding (rembourrage),AIRVOLT LAMINAT,Revêtements de sol — produit fini industriel,wrong_scope_or_unrelated,T2,remove_unless_material_traceability_exists,low,Laminate flooring brand; not a credible aerospace-seat supplier without material traceability.,,
T2,tier2_second_transformation,Second transformation / component processor,Diodes Incorporated,United States,Outside_Europe,general_industrial,1,1,0,0.8,review,keep_as_supply_tier_node,False,,needs_verified_site:1,lightning,lightning,Semi-conducteurs,validated_supplier_cots_upstream,T2,demote_to_electronics_cots_upstream,medium_high,"Semiconductor supplier; valid upstream electronics, not direct aerospace supplier.",SRC_DIODES_001,Diodes Incorporated
T2,tier2_second_transformation,Second transformation / component processor,Glatfelter,United States,Outside_Europe,general_industrial,1,0,1,0.95,review,keep_as_supply_tier_node,True,,kept_from_source_json:1,Padding (rembourrage),AIRVOLT LAMINAT,Papier technique,validated_supplier,T2,keep_with_material_scope_check,medium_high,Engineered materials/nonwovens supplier; plausible for paper/nonwoven material.,SRC_GLATFELTER_001,Glatfelter
T2,tier2_second_transformation,Second transformation / component processor,Group Mondi,Austria,Europe_non_FR,general_industrial,1,1,0,0.95,review,keep_as_supply_tier_node,False,,needs_verified_site:1,Padding (rembourrage),AIRVOLT LAMINAT,Papier / emballage,packaging_or_paper_auxiliary,PKG,move_to_packaging_or_auxiliary_flow,high,Paper/packaging group; usually packaging/auxiliary unless material paper is deliberate.,SRC_MONDI_001,Mondi
T2,tier2_second_transformation,Second transformation / component processor,Hexcel Corporation,France,France,general_industrial,1,0,1,0.0478353,review,keep_as_supply_tier_node,True,,kept_from_source_json:1,Ens. Structure porte,Z10CNT18,Fibre carbone / composites,validated_supplier,T2,keep_or_reclassify_T3_composites,high,Aerospace composites/carbon fiber supplier.,SRC_HEXCEL_001,Hexcel
T2,tier2_second_transformation,Second transformation / component processor,Infineon Technologies AG,Germany,Europe_non_FR,general_industrial,1,0,1,0.8,review,keep_as_supply_tier_node,True,,kept_from_source_json:1,lightning,lightning,Semi-conducteurs,validated_supplier_cots_upstream,T2,demote_to_electronics_cots_upstream,medium_high,Semiconductor supplier; valid upstream electronics but not direct seat supplier.,SRC_INFINEON_001,Infineon
T2,tier2_second_transformation,Second transformation / component processor,Intel --> fondée en 1968 qui est le deuxième fabricant mondial de semi-conducteurs.,United States,Outside_Europe,general_industrial,1,0,1,1.5,review,keep_as_supply_tier_node,False,,needs_verified_site:1,System IFE (In-Flight Entertainment) est un ensemble d'équipements et de logiciels qui permet aux passagers d'occuper leur temps à bord d'un avion.,System IFE boitier ref FJKL1-3K1100-01ATAB,Semi-conducteurs — aval électronique,cots_brand_not_supply_node,T2,normalize_or_remove,medium,"Text contains encyclopedia note; if kept, normalize to Intel and model only as generic semiconductor upstream.",SRC_INTEL_001,Intel
T2,tier2_second_transformation,Second transformation / component processor,NVIDIA,United States,Outside_Europe,general_industrial,1,0,1,1.5,review,keep_as_supply_tier_node,True,,kept_from_source_json:1,System IFE (In-Flight Entertainment) est un ensemble d'équipements et de logiciels qui permet aux passagers d'occuper leur temps à bord d'un avion.,System IFE boitier ref FJKL1-3K1100-01ATAB,Processeurs graphiques,cots_brand_not_supply_node,T2,replace_with_exact_component_supplier,medium,Too generic without exact electronic BOM.,SRC_NVIDIA_001,NVIDIA
T2,tier2_second_transformation,Second transformation / component processor,Pergo,Sweden,Europe_non_FR,general_industrial,1,0,1,0.95,review,keep_as_supply_tier_node,False,,needs_verified_site:1,Padding (rembourrage),AIRVOLT LAMINAT,Stratifiés / matériaux de revêtement,wrong_scope_or_unrelated,T2,remove_unless_material_traceability_exists,low,Flooring laminate brand; not credible as aerospace-seat supply node without traceability.,,
