record_index,system,component,material_family,missing_role,missing_tier_code,candidate_name,candidate_type,confidence,modeling_action,rationale,source_ids,source_urls,active_supplier_recommendation
13,Accoudoir allée,30NCD6 (nickel-chrome- molibdene),steel,tier2_second_transformation,T2,SUMPAR - machining/forming process owner,inferred_process_owner,medium_high,model_as_internalized_T2_at_T1_or_validate_subcontractor,"For metal parts, the absent T2 is often machining, forming, cutting, treatment, or kitting already covered by the T1 manufacturing scope.",SRC_LAUAK_001;SRC_SUMPAR_001;SRC_FIGEAC_001,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact,no
14,Ens. Palette optimisée,35NC6 (nickel-chrome),steel,tier4_raw_material,T4,Saarstahl / ArcelorMittal / Tata Steel / China Baowu steel source,candidate_supplier_set,medium,choose_steelmaker_by_grade_certificate_before_activation,"For steel grades, the missing T4 is a steelmaker or alloy/raw steel source; choose the actual mill from material certificates.",SRC_ARCELORMITTAL_001;SRC_TATA_STEEL_001;SRC_BAOWU_001,https://luxembourg.arcelormittal.com/en/arcelormittal-in-luxembourg/headquarters;https://www.tata.com/business/tata-steel;https://craft.co/baosteel/locations,no
14,Ens. Palette optimisée,35NC6 (nickel-chrome),steel,tier2_second_transformation,T2,SUMPAR - machining/forming process owner,inferred_process_owner,medium_high,model_as_internalized_T2_at_T1_or_validate_subcontractor,"For metal parts, the absent T2 is often machining, forming, cutting, treatment, or kitting already covered by the T1 manufacturing scope.",SRC_LAUAK_001;SRC_SUMPAR_001;SRC_FIGEAC_001,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact,no
16,Stowage assemblé avec porte,35NC6 (nickel-chrome),steel,tier3_first_transformation,T3,thyssenkrupp Materials France / Aubert & Duval / Euralliage,candidate_supplier_set,medium,select_existing_material_processor_based_on_grade_and_traceability,"For metal parts, T3 is usually stockholding, rolling/extrusion, forging, or first transformation before machining.",SRC_THYSSEN_001;SRC_AUBERT_001;SRC_EURALLIAGE_001,https://www.thyssenkrupp-aerospace.com/en/company/locations/france;https://www.aubertduval.com/;https://www.euralliage.com/coordonnees.htm,no
16,Stowage assemblé avec porte,35NC6 (nickel-chrome),steel,tier2_second_transformation,T2,ETS Gattefin - machining/forming process owner,inferred_process_owner,medium_high,model_as_internalized_T2_at_T1_or_validate_subcontractor,"For metal parts, the absent T2 is often machining, forming, cutting, treatment, or kitting already covered by the T1 manufacturing scope.",SRC_LAUAK_001;SRC_SUMPAR_001;SRC_FIGEAC_001,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact,no
29,Accoudoir allée,A5086 - Aluminium,aluminium,tier2_second_transformation,T2,ESPACE - machining/forming process owner,inferred_process_owner,medium_high,model_as_internalized_T2_at_T1_or_validate_subcontractor,"For metal parts, the absent T2 is often machining, forming, cutting, treatment, or kitting already covered by the T1 manufacturing scope.",SRC_LAUAK_001;SRC_SUMPAR_001;SRC_FIGEAC_001,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact,no
30,Bumper version porte,A5086 - Aluminium,aluminium,tier2_second_transformation,T2,ESPACE - machining/forming process owner,inferred_process_owner,medium_high,model_as_internalized_T2_at_T1_or_validate_subcontractor,"For metal parts, the absent T2 is often machining, forming, cutting, treatment, or kitting already covered by the T1 manufacturing scope.",SRC_LAUAK_001;SRC_SUMPAR_001;SRC_FIGEAC_001,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact,no
31,Ens. Stowage latéral,A5086 - Aluminium,aluminium,tier2_second_transformation,T2,ESPACE - machining/forming process owner,inferred_process_owner,medium_high,model_as_internalized_T2_at_T1_or_validate_subcontractor,"For metal parts, the absent T2 is often machining, forming, cutting, treatment, or kitting already covered by the T1 manufacturing scope.",SRC_LAUAK_001;SRC_SUMPAR_001;SRC_FIGEAC_001,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact,no
32,ens. equipements lateraux,"velours eu28: polyurethane flexible foam, with flame retardant eu28: pa6.6 fibres",textile_leather,tier4_raw_material,T4,fiber/polymer or hide upstream source,candidate_material_family,medium,add_material_family_T4_after_material_spec_validation,"For textile/leather rows, T4 is the fiber, polymer, or hide upstream source; exact material composition decides the supplier.",SRC_TORAY_001;SRC_DUPONT_001;SRC_BASF_001;SRC_ULTRAFABRICS_001,https://www.toray.com/global/;https://www.dupont.com/locations.html.html;https://www.basf.com/global/en/who-we-are/organization/locations/europe/german-sites/ludwigshafen;https://www.ultrafabricsinc.com/,no
33,Ens. Structure fauteuil,4140 (acier),steel,tier2_second_transformation,T2,Senior Aerospace Thailand - machining/forming process owner,inferred_process_owner,medium_high,model_as_internalized_T2_at_T1_or_validate_subcontractor,"For metal parts, the absent T2 is often machining, forming, cutting, treatment, or kitting already covered by the T1 manufacturing scope.",SRC_LAUAK_001;SRC_SUMPAR_001;SRC_FIGEAC_001,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact,no
34,Habillage sous fauteuil,A5086 - Aluminium,aluminium,tier2_second_transformation,T2,ESPACE - machining/forming process owner,inferred_process_owner,medium_high,model_as_internalized_T2_at_T1_or_validate_subcontractor,"For metal parts, the absent T2 is often machining, forming, cutting, treatment, or kitting already covered by the T1 manufacturing scope.",SRC_LAUAK_001;SRC_SUMPAR_001;SRC_FIGEAC_001,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact,no
35,Manchette acc. Mobile,A5086 - Aluminium,aluminium,tier2_second_transformation,T2,ESPACE - machining/forming process owner,inferred_process_owner,medium_high,model_as_internalized_T2_at_T1_or_validate_subcontractor,"For metal parts, the absent T2 is often machining, forming, cutting, treatment, or kitting already covered by the T1 manufacturing scope.",SRC_LAUAK_001;SRC_SUMPAR_001;SRC_FIGEAC_001,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact,no
36,Manchette équipée,A5086 - Aluminium,aluminium,tier2_second_transformation,T2,ESPACE - machining/forming process owner,inferred_process_owner,medium_high,model_as_internalized_T2_at_T1_or_validate_subcontractor,"For metal parts, the absent T2 is often machining, forming, cutting, treatment, or kitting already covered by the T1 manufacturing scope.",SRC_LAUAK_001;SRC_SUMPAR_001;SRC_FIGEAC_001,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact,no
37,Renfort tubulaire,A5086 - Aluminium,aluminium,tier2_second_transformation,T2,ESPACE - machining/forming process owner,inferred_process_owner,medium_high,model_as_internalized_T2_at_T1_or_validate_subcontractor,"For metal parts, the absent T2 is often machining, forming, cutting, treatment, or kitting already covered by the T1 manufacturing scope.",SRC_LAUAK_001;SRC_SUMPAR_001;SRC_FIGEAC_001,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact,no
38,Stowage assemblé avec porte,A5086 - Aluminium,aluminium,tier2_second_transformation,T2,ESPACE - machining/forming process owner,inferred_process_owner,medium_high,model_as_internalized_T2_at_T1_or_validate_subcontractor,"For metal parts, the absent T2 is often machining, forming, cutting, treatment, or kitting already covered by the T1 manufacturing scope.",SRC_LAUAK_001;SRC_SUMPAR_001;SRC_FIGEAC_001,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact,no
39,Structure ottoman horizontale,A5086 - Aluminium,aluminium,tier2_second_transformation,T2,ESPACE - machining/forming process owner,inferred_process_owner,medium_high,model_as_internalized_T2_at_T1_or_validate_subcontractor,"For metal parts, the absent T2 is often machining, forming, cutting, treatment, or kitting already covered by the T1 manufacturing scope.",SRC_LAUAK_001;SRC_SUMPAR_001;SRC_FIGEAC_001,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact,no
40,Support écran,A5086 - Aluminium,aluminium,tier2_second_transformation,T2,ESPACE - machining/forming process owner,inferred_process_owner,medium_high,model_as_internalized_T2_at_T1_or_validate_subcontractor,"For metal parts, the absent T2 is often machining, forming, cutting, treatment, or kitting already covered by the T1 manufacturing scope.",SRC_LAUAK_001;SRC_SUMPAR_001;SRC_FIGEAC_001,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact,no
41,Support équipé,A5086 - Aluminium,aluminium,tier2_second_transformation,T2,ESPACE - machining/forming process owner,inferred_process_owner,medium_high,model_as_internalized_T2_at_T1_or_validate_subcontractor,"For metal parts, the absent T2 is often machining, forming, cutting, treatment, or kitting already covered by the T1 manufacturing scope.",SRC_LAUAK_001;SRC_SUMPAR_001;SRC_FIGEAC_001,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact,no
42,Support manchette équipée,A5086 - Aluminium,aluminium,tier2_second_transformation,T2,ESPACE - machining/forming process owner,inferred_process_owner,medium_high,model_as_internalized_T2_at_T1_or_validate_subcontractor,"For metal parts, the absent T2 is often machining, forming, cutting, treatment, or kitting already covered by the T1 manufacturing scope.",SRC_LAUAK_001;SRC_SUMPAR_001;SRC_FIGEAC_001,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact,no
43,Support NFC,A5086 - Aluminium,aluminium,tier2_second_transformation,T2,ESPACE - machining/forming process owner,inferred_process_owner,medium_high,model_as_internalized_T2_at_T1_or_validate_subcontractor,"For metal parts, the absent T2 is often machining, forming, cutting, treatment, or kitting already covered by the T1 manufacturing scope.",SRC_LAUAK_001;SRC_SUMPAR_001;SRC_FIGEAC_001,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact,no
44,Renfort tubulaire,A6060 - Aluminium,aluminium,tier2_second_transformation,T2,Groupe Segnere / SEGNERE Ade - machining/forming process owner,inferred_process_owner,medium_high,model_as_internalized_T2_at_T1_or_validate_subcontractor,"For metal parts, the absent T2 is often machining, forming, cutting, treatment, or kitting already covered by the T1 manufacturing scope.",SRC_LAUAK_001;SRC_SUMPAR_001;SRC_FIGEAC_001,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact,no
50,ens. coque,de: aluminium cast part machining + tth compris dans le steel tinplated,aluminium,tier2_second_transformation,T2,SUMPAR - machining/forming process owner,inferred_process_owner,medium_high,model_as_internalized_T2_at_T1_or_validate_subcontractor,"For metal parts, the absent T2 is often machining, forming, cutting, treatment, or kitting already covered by the T1 manufacturing scope.",SRC_LAUAK_001;SRC_SUMPAR_001;SRC_FIGEAC_001,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact,no
51,Ens. Structure fauteuil,35NC6 (nickel-chrome),steel,tier3_first_transformation,T3,thyssenkrupp Materials France / Aubert & Duval / Euralliage,candidate_supplier_set,medium,select_existing_material_processor_based_on_grade_and_traceability,"For metal parts, T3 is usually stockholding, rolling/extrusion, forging, or first transformation before machining.",SRC_THYSSEN_001;SRC_AUBERT_001;SRC_EURALLIAGE_001,https://www.thyssenkrupp-aerospace.com/en/company/locations/france;https://www.aubertduval.com/;https://www.euralliage.com/coordonnees.htm,no
51,Ens. Structure fauteuil,35NC6 (nickel-chrome),steel,tier2_second_transformation,T2,Senior Aerospace Thailand - machining/forming process owner,inferred_process_owner,medium_high,model_as_internalized_T2_at_T1_or_validate_subcontractor,"For metal parts, the absent T2 is often machining, forming, cutting, treatment, or kitting already covered by the T1 manufacturing scope.",SRC_LAUAK_001;SRC_SUMPAR_001;SRC_FIGEAC_001,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact,no
66,Accoudoir allée,Alu,aluminium,tier2_second_transformation,T2,SUMPAR - machining/forming process owner,inferred_process_owner,medium_high,model_as_internalized_T2_at_T1_or_validate_subcontractor,"For metal parts, the absent T2 is often machining, forming, cutting, treatment, or kitting already covered by the T1 manufacturing scope.",SRC_LAUAK_001;SRC_SUMPAR_001;SRC_FIGEAC_001,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact,no
67,Ens. Palette optimisée,Alu,aluminium,tier2_second_transformation,T2,SUMPAR - machining/forming process owner,inferred_process_owner,medium_high,model_as_internalized_T2_at_T1_or_validate_subcontractor,"For metal parts, the absent T2 is often machining, forming, cutting, treatment, or kitting already covered by the T1 manufacturing scope.",SRC_LAUAK_001;SRC_SUMPAR_001;SRC_FIGEAC_001,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact,no
68,Ensemble porte,Alu,aluminium,tier2_second_transformation,T2,SUMPAR - machining/forming process owner,inferred_process_owner,medium_high,model_as_internalized_T2_at_T1_or_validate_subcontractor,"For metal parts, the absent T2 is often machining, forming, cutting, treatment, or kitting already covered by the T1 manufacturing scope.",SRC_LAUAK_001;SRC_SUMPAR_001;SRC_FIGEAC_001,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact,no
69,Ens. Structure fauteuil,A5086 - Aluminium,aluminium,tier2_second_transformation,T2,ESPACE - machining/forming process owner,inferred_process_owner,medium_high,model_as_internalized_T2_at_T1_or_validate_subcontractor,"For metal parts, the absent T2 is often machining, forming, cutting, treatment, or kitting already covered by the T1 manufacturing scope.",SRC_LAUAK_001;SRC_SUMPAR_001;SRC_FIGEAC_001,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact,no
70,Manchette acc. Mobile,Alu,aluminium,tier2_second_transformation,T2,SUMPAR - machining/forming process owner,inferred_process_owner,medium_high,model_as_internalized_T2_at_T1_or_validate_subcontractor,"For metal parts, the absent T2 is often machining, forming, cutting, treatment, or kitting already covered by the T1 manufacturing scope.",SRC_LAUAK_001;SRC_SUMPAR_001;SRC_FIGEAC_001,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact,no
71,Brackets set,cables FJKL1-3K1J01-01ATAB_BRACKETS-SET,general,tier2_second_transformation,T2,process owner not identified,unknown_process_owner,low,keep_gap_bridge_until_purchase_or_routing_data,"A T2 role is structurally expected, but the data does not identify whether it is a subcontractor or internal to T1.",,,no
73,SFCU (Seat Function Control Unit),Clavier,electronics_cots,tier4_raw_material,T4,do not infer generic semiconductor/foundry tier,needs_exact_bom,low,keep_as_COTS_upstream_context_not_supply_tier,Electronics T4 depends on exact components and foundry/distributor chain; generic COTS brands should stay out of the switchable production network.,SRC_THALES_001;SRC_HONEYWELL_001;SRC_COLLINS_001,https://www.thalesgroup.com/en/markets/aerospace;https://aerospace.honeywell.com/;https://www.collinsaerospace.com/,no
73,SFCU (Seat Function Control Unit),Clavier,electronics_cots,tier3_first_transformation,T3,electronics sub-tier unknown,needs_exact_bom,low,keep_out_of_switchable_supplier_network_until_exact_BOM,Do not infer electronic T3 from generic semiconductor brands; exact PCB/display/power supplier BOM is required.,SRC_THALES_001;SRC_HONEYWELL_001;SRC_COLLINS_001,https://www.thalesgroup.com/en/markets/aerospace;https://aerospace.honeywell.com/;https://www.collinsaerospace.com/,no
73,SFCU (Seat Function Control Unit),Clavier,electronics_cots,tier1,T1,Thales / Honeywell Aerospace / Collins / Auberon depending exact equipment,candidate_supplier_set,medium_low,candidate_only_until_part_number_supplier_validation,Electronic equipment rows need an exact equipment integrator or part supplier before they become switchable T1 nodes.,SRC_THALES_001;SRC_HONEYWELL_001;SRC_COLLINS_001;SRC_AUBERON_001,https://www.thalesgroup.com/en/markets/aerospace;https://aerospace.honeywell.com/;https://www.collinsaerospace.com/;https://auberon-technologies.com/,no
74,Commande actionnement ECU,Commande actionnement ECU,electronics_cots,tier2_second_transformation,T2,process owner not identified,unknown_process_owner,low,keep_gap_bridge_until_purchase_or_routing_data,"A T2 role is structurally expected, but the data does not identify whether it is a subcontractor or internal to T1.",,,no
75,bumper version porte,copolymere lexan fst simapro: extrusion et thermoformage,polymer_plastic,tier2_second_transformation,T2,specialist plastics/rubber/composite processor to validate,candidate_process_family,medium,add_candidate_only_after_process_and_part_traceability,The missing T2 should be a transformation processor rather than a raw-material producer.,SRC_PLASTISERVICE_001;SRC_EXSTO_001,https://plastiservice.com/nos-implantations/;https://www.exsto.com/en/contact,no
76,Manchette acc. Mobile,cuir,textile_leather,tier4_raw_material,T4,fiber/polymer or hide upstream source,candidate_material_family,medium,add_material_family_T4_after_material_spec_validation,"For textile/leather rows, T4 is the fiber, polymer, or hide upstream source; exact material composition decides the supplier.",SRC_TORAY_001;SRC_DUPONT_001;SRC_BASF_001;SRC_ULTRAFABRICS_001,https://www.toray.com/global/;https://www.dupont.com/locations.html.html;https://www.basf.com/global/en/who-we-are/organization/locations/europe/german-sites/ludwigshafen;https://www.ultrafabricsinc.com/,no
77,Manchette équipée,cuir,textile_leather,tier4_raw_material,T4,fiber/polymer or hide upstream source,candidate_material_family,medium,add_material_family_T4_after_material_spec_validation,"For textile/leather rows, T4 is the fiber, polymer, or hide upstream source; exact material composition decides the supplier.",SRC_TORAY_001;SRC_DUPONT_001;SRC_BASF_001;SRC_ULTRAFABRICS_001,https://www.toray.com/global/;https://www.dupont.com/locations.html.html;https://www.basf.com/global/en/who-we-are/organization/locations/europe/german-sites/ludwigshafen;https://www.ultrafabricsinc.com/,no
78,Ecran - Screen Display (COTS),"Display, liquid crystal, 17 pouces",electronics_cots,tier1,T1,Thales / Honeywell Aerospace / Collins / Auberon depending exact equipment,candidate_supplier_set,medium_low,candidate_only_until_part_number_supplier_validation,Electronic equipment rows need an exact equipment integrator or part supplier before they become switchable T1 nodes.,SRC_THALES_001;SRC_HONEYWELL_001;SRC_COLLINS_001;SRC_AUBERON_001,https://www.thalesgroup.com/en/markets/aerospace;https://aerospace.honeywell.com/;https://www.collinsaerospace.com/;https://auberon-technologies.com/,no
81,Ens. Structure fauteuil,inox,steel,tier2_second_transformation,T2,Senior Aerospace Thailand - machining/forming process owner,inferred_process_owner,medium_high,model_as_internalized_T2_at_T1_or_validate_subcontractor,"For metal parts, the absent T2 is often machining, forming, cutting, treatment, or kitting already covered by the T1 manufacturing scope.",SRC_LAUAK_001;SRC_SUMPAR_001;SRC_FIGEAC_001,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact,no
94,Accoudoir allée,inox,steel,tier2_second_transformation,T2,Senior Aerospace Thailand - machining/forming process owner,inferred_process_owner,medium_high,model_as_internalized_T2_at_T1_or_validate_subcontractor,"For metal parts, the absent T2 is often machining, forming, cutting, treatment, or kitting already covered by the T1 manufacturing scope.",SRC_LAUAK_001;SRC_SUMPAR_001;SRC_FIGEAC_001,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact,no
95,Ens. Palette optimisée,inox,steel,tier2_second_transformation,T2,Senior Aerospace Thailand - machining/forming process owner,inferred_process_owner,medium_high,model_as_internalized_T2_at_T1_or_validate_subcontractor,"For metal parts, the absent T2 is often machining, forming, cutting, treatment, or kitting already covered by the T1 manufacturing scope.",SRC_LAUAK_001;SRC_SUMPAR_001;SRC_FIGEAC_001,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact,no
96,Ensemble porte,inox,steel,tier2_second_transformation,T2,Senior Aerospace Thailand - machining/forming process owner,inferred_process_owner,medium_high,model_as_internalized_T2_at_T1_or_validate_subcontractor,"For metal parts, the absent T2 is often machining, forming, cutting, treatment, or kitting already covered by the T1 manufacturing scope.",SRC_LAUAK_001;SRC_SUMPAR_001;SRC_FIGEAC_001,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact,no
98,Ens. Tablette cocktail,inox,steel,tier2_second_transformation,T2,Senior Aerospace Thailand - machining/forming process owner,inferred_process_owner,medium_high,model_as_internalized_T2_at_T1_or_validate_subcontractor,"For metal parts, the absent T2 is often machining, forming, cutting, treatment, or kitting already covered by the T1 manufacturing scope.",SRC_LAUAK_001;SRC_SUMPAR_001;SRC_FIGEAC_001,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact,no
99,Ens. Tablette repas,inox,steel,tier2_second_transformation,T2,Senior Aerospace Thailand - machining/forming process owner,inferred_process_owner,medium_high,model_as_internalized_T2_at_T1_or_validate_subcontractor,"For metal parts, the absent T2 is often machining, forming, cutting, treatment, or kitting already covered by the T1 manufacturing scope.",SRC_LAUAK_001;SRC_SUMPAR_001;SRC_FIGEAC_001,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact,no
